Week,CV,Simulated
2022_05_30_PC4_GFP,0.249728433,"32 weeks, real data"
2022_07_25_PC4_GFP,0.217951062,"32 weeks, real data"
2022_08_08_PC4_GFP,0.185978683,"32 weeks, real data"
2022_09_05_PC4_GFP,0.126282481,"32 weeks, real data"
2022_09_12_PC4_GFP,0.357147613,"32 weeks, real data"
2022_09_19_PC4_GFP,0.347920063,"32 weeks, real data"
2022_10_17_PC4_GFP,0.111520178,"32 weeks, real data"
2022_11_07_PC4_GFP,0.292523985,"32 weeks, real data"
2022_12_05_PC4_GFP,0.306904825,"32 weeks, real data"
2023_01_09_PC4_GFP,0.124027594,"32 weeks, real data"
2023_02_06_PC4_GFP,0.117191976,"32 weeks, real data"
2023_05_30_PC4_GFP,0.194016177,"32 weeks, real data"
2023_07_03_PC4_GFP,0.240438291,"32 weeks, real data"
2022_05_30_PC4_GFP,0.244000616,"32 weeks, real data"
2022_07_25_PC4_GFP,0.182013782,"32 weeks, real data"
2022_08_08_PC4_GFP,0.649755532,"32 weeks, real data"
2022_09_05_PC4_GFP,0.252050292,"32 weeks, real data"
2022_09_12_PC4_GFP,0.351331338,"32 weeks, real data"
2022_09_19_PC4_GFP,0.187323401,"32 weeks, real data"
2022_10_17_PC4_GFP,0.178986144,"32 weeks, real data"
2022_11_07_PC4_GFP,0.171684467,"32 weeks, real data"
2022_12_05_PC4_GFP,0.149794642,"32 weeks, real data"
2023_01_09_PC4_GFP,0.13518112,"32 weeks, real data"
2023_02_06_PC4_GFP,0.193703527,"32 weeks, real data"
2023_05_30_PC4_GFP,0.237573913,"32 weeks, real data"
2023_07_03_PC4_GFP,0.276781408,"32 weeks, real data"
2022_05_30_PC4_GFP,0.192776638,"32 weeks, real data"
2022_07_25_PC4_GFP,0.347922668,"32 weeks, real data"
2022_08_08_PC4_GFP,0.422827094,"32 weeks, real data"
2022_09_05_PC4_GFP,0.241315142,"32 weeks, real data"
2022_09_12_PC4_GFP,0.379033543,"32 weeks, real data"
2022_09_19_PC4_GFP,0.326251425,"32 weeks, real data"
2022_10_17_PC4_GFP,0.162434353,"32 weeks, real data"
2022_11_07_PC4_GFP,0.314488894,"32 weeks, real data"
2022_12_05_PC4_GFP,0.34635004,"32 weeks, real data"
2023_01_09_PC4_GFP,0.134658637,"32 weeks, real data"
2023_02_06_PC4_GFP,0.302957862,"32 weeks, real data"
2023_05_30_PC4_GFP,0.161375511,"32 weeks, real data"
2023_07_03_PC4_GFP,0.172300552,"32 weeks, real data"
240828_promoter_optimize,0.068762188,"32 weeks, real data"
240828_promoter_optimize,0.122989292,"32 weeks, real data"
240828_promoter_optimize,0.103341165,"32 weeks, real data"
240828_promoter_optimize,0.097342645,"32 weeks, real data"
240828_promoter_optimize,0.142760479,"32 weeks, real data"
240828_promoter_optimize,0.069630094,"32 weeks, real data"
240828_promoter_optimize,0.138509887,"32 weeks, real data"
240828_promoter_optimize,0.062771707,"32 weeks, real data"
240828_promoter_optimize,0.13095327,"32 weeks, real data"
240828_promoter_optimize,0.092720669,"32 weeks, real data"
240828_promoter_optimize,0.106870967,"32 weeks, real data"
240828_promoter_optimize,0.093465379,"32 weeks, real data"
240828_promoter_optimize,0.123957036,"32 weeks, real data"
240828_promoter_optimize,0.114397477,"32 weeks, real data"
240828_promoter_optimize,0.178772312,"32 weeks, real data"
240828_promoter_optimize,0.147262816,"32 weeks, real data"
240828_promoter_optimize,0.108645916,"32 weeks, real data"
240828_promoter_optimize,0.0911941,"32 weeks, real data"
240828_promoter_optimize,0.335804865,"32 weeks, real data"
240828_promoter_optimize,0.192365815,"32 weeks, real data"
240828_promoter_optimize,0.178456222,"32 weeks, real data"
240828_promoter_optimize,0.260138666,"32 weeks, real data"
240828_promoter_optimize,0.087919272,"32 weeks, real data"
240828_promoter_optimize,0.165000004,"32 weeks, real data"
240828_promoter_optimize,0.239786022,"32 weeks, real data"
240828_promoter_optimize,0.072716197,"32 weeks, real data"
240828_promoter_optimize,0.817710046,"32 weeks, real data"
240828_promoter_optimize,0.110415687,"32 weeks, real data"
240828_promoter_optimize,0.100719022,"32 weeks, real data"
240828_promoter_optimize,0.128134852,"32 weeks, real data"
240828_promoter_optimize,0.222600205,"32 weeks, real data"
240828_promoter_optimize,0.141894597,"32 weeks, real data"
240828_promoter_optimize,0.259850199,"32 weeks, real data"
240828_promoter_optimize,0.206141027,"32 weeks, real data"
240828_promoter_optimize,0.338939891,"32 weeks, real data"
240828_promoter_optimize,0.230009911,"32 weeks, real data"
240828_promoter_optimize,0.137592455,"32 weeks, real data"
240828_promoter_optimize,0.114223966,"32 weeks, real data"
240828_promoter_optimize,0.130481052,"32 weeks, real data"
240828_promoter_optimize,0.22605406,"32 weeks, real data"
240828_promoter_optimize,0.122614635,"32 weeks, real data"
240828_promoter_optimize,0.183939893,"32 weeks, real data"
240828_promoter_optimize,0.161084918,"32 weeks, real data"
240828_promoter_optimize,0.151183552,"32 weeks, real data"
240828_promoter_optimize,0.263325155,"32 weeks, real data"
240828_promoter_optimize,0.068785161,"32 weeks, real data"
240828_promoter_optimize,0.17242441,"32 weeks, real data"
240828_promoter_optimize,0.190707159,"32 weeks, real data"
240828_promoter_optimize,0.129434619,"32 weeks, real data"
240828_promoter_optimize,0.102472903,"32 weeks, real data"
240828_promoter_optimize,0.120040106,"32 weeks, real data"
240828_promoter_optimize,0.265891265,"32 weeks, real data"
240828_promoter_optimize,0.137148305,"32 weeks, real data"
240828_promoter_optimize,0.142137608,"32 weeks, real data"
240828_promoter_optimize,0.19468133,"32 weeks, real data"
240828_promoter_optimize,0.157606413,"32 weeks, real data"
240828_promoter_optimize,0.229906819,"32 weeks, real data"
240828_promoter_optimize,0.2054232,"32 weeks, real data"
240828_promoter_optimize,0.123791695,"32 weeks, real data"
240828_promoter_optimize,0.156748339,"32 weeks, real data"
240828_promoter_optimize,0.148539252,"32 weeks, real data"
240828_promoter_optimize,0.194701471,"32 weeks, real data"
240828_promoter_optimize,0.098564614,"32 weeks, real data"
240828_promoter_optimize,0.133901703,"32 weeks, real data"
240828_promoter_optimize,0.166475183,"32 weeks, real data"
240828_promoter_optimize,0.069954547,"32 weeks, real data"
240828_promoter_optimize,0.164690626,"32 weeks, real data"
240828_promoter_optimize,0.131285432,"32 weeks, real data"
240828_promoter_optimize,0.25773522,"32 weeks, real data"
240828_promoter_optimize,0.120492151,"32 weeks, real data"
240828_promoter_optimize,0.10780935,"32 weeks, real data"
240828_promoter_optimize,0.202504555,"32 weeks, real data"
EHA105GV3101_comparison,0.34162637,"32 weeks, real data"
EHA105GV3101_comparison,0.186945929,"32 weeks, real data"
EHA105GV3101_comparison,0.286506029,"32 weeks, real data"
EHA105GV3101_comparison,0.340483355,"32 weeks, real data"
EHA105GV3101_comparison,0.337456554,"32 weeks, real data"
EHA105GV3101_comparison,0.191333314,"32 weeks, real data"
EHA105GV3101_comparison,0.352047326,"32 weeks, real data"
EHA105GV3101_comparison,0.474315467,"32 weeks, real data"
EHA105GV3101_comparison,0.387626502,"32 weeks, real data"
EHA105GV3101_comparison,0.435130696,"32 weeks, real data"
EHA105GV3101_comparison,0.551690018,"32 weeks, real data"
EHA105GV3101_comparison,0.433948927,"32 weeks, real data"
EHA105GV3101_comparison,0.414039863,"32 weeks, real data"
EHA105GV3101_comparison,0.678383129,"32 weeks, real data"
EHA105GV3101_comparison,0.609846276,"32 weeks, real data"
EHA105GV3101_comparison,0.500449658,"32 weeks, real data"
EHA105GV3101_comparison,0.454074616,"32 weeks, real data"
EHA105GV3101_comparison,0.446831856,"32 weeks, real data"
EHA105GV3101_comparison,0.233140946,"32 weeks, real data"
EHA105GV3101_comparison,0.121833126,"32 weeks, real data"
EHA105GV3101_comparison,0.233886542,"32 weeks, real data"
EHA105GV3101_comparison,0.273573265,"32 weeks, real data"
EHA105GV3101_comparison,0.179267885,"32 weeks, real data"
EHA105GV3101_comparison,0.235851735,"32 weeks, real data"
EHA105GV3101_comparison,0.205133011,"32 weeks, real data"
EHA105GV3101_comparison,0.362937686,"32 weeks, real data"
EHA105GV3101_comparison,0.094440184,"32 weeks, real data"
EHA105GV3101_comparison,0.459587333,"32 weeks, real data"
EHA105GV3101_comparison,0.434752696,"32 weeks, real data"
EHA105GV3101_comparison,0.373381182,"32 weeks, real data"
EHA105GV3101_comparison,0.250711974,"32 weeks, real data"
EHA105GV3101_comparison,0.378985695,"32 weeks, real data"
EHA105GV3101_comparison,0.358710204,"32 weeks, real data"
EHA105GV3101_comparison,0.186516929,"32 weeks, real data"
EHA105GV3101_comparison,0.537044691,"32 weeks, real data"
EHA105GV3101_comparison,0.385192658,"32 weeks, real data"
EHA105GV3101_comparison,0.361534891,"32 weeks, real data"
EHA105GV3101_comparison,0.280361204,"32 weeks, real data"
EHA105GV3101_comparison,0.268015918,"32 weeks, real data"
EHA105GV3101_comparison,0.561190477,"32 weeks, real data"
EHA105GV3101_comparison,0.589833631,"32 weeks, real data"
EHA105GV3101_comparison,0.136635237,"32 weeks, real data"
GV3101_OD_experiment,0.246897791,"32 weeks, real data"
GV3101_OD_experiment,0.221202436,"32 weeks, real data"
GV3101_OD_experiment,0.286565661,"32 weeks, real data"
GV3101_OD_experiment,0.267195258,"32 weeks, real data"
GV3101_OD_experiment,0.169851325,"32 weeks, real data"
GV3101_OD_experiment,0.215551557,"32 weeks, real data"
GV3101_OD_experiment,0.20784934,"32 weeks, real data"
GV3101_OD_experiment,0.349027527,"32 weeks, real data"
GV3101_OD_experiment,0.293997158,"32 weeks, real data"
GV3101_OD_experiment,0.234205088,"32 weeks, real data"
GV3101_OD_experiment,0.752592046,"32 weeks, real data"
GV3101_OD_experiment,0.365089476,"32 weeks, real data"
GV3101_OD_experiment,0.425526524,"32 weeks, real data"
GV3101_OD_experiment,0.23155855,"32 weeks, real data"
GV3101_OD_experiment,0.218556806,"32 weeks, real data"
GV3101_OD_experiment,0.120532562,"32 weeks, real data"
GV3101_OD_experiment,0.356366005,"32 weeks, real data"
GV3101_OD_experiment,0.20614326,"32 weeks, real data"
GV3101_OD_experiment,0.357888843,"32 weeks, real data"
GV3101_OD_experiment,0.465878774,"32 weeks, real data"
GV3101_OD_experiment,0.400823712,"32 weeks, real data"
GV3101_OD_experiment,0.502603805,"32 weeks, real data"
GV3101_OD_experiment,0.340969342,"32 weeks, real data"
GV3101_OD_experiment,0.120309065,"32 weeks, real data"
GV3101_OD_experiment,0.395875118,"32 weeks, real data"
GV3101_OD_experiment,0.271234571,"32 weeks, real data"
GV3101_OD_experiment,0.165839778,"32 weeks, real data"
GV3101_OD_experiment,0.117884226,"32 weeks, real data"
GV3101_OD_experiment,0.348895617,"32 weeks, real data"
GV3101_OD_experiment,0.410270011,"32 weeks, real data"
GV3101_OD_experiment,0.230064646,"32 weeks, real data"
GV3101_OD_experiment,0.298144258,"32 weeks, real data"
GV3101_OD_experiment,0.317951678,"32 weeks, real data"
GV3101_OD_experiment,0.309019398,"32 weeks, real data"
GV3101_OD_experiment,0.201761429,"32 weeks, real data"
GV3101_OD_experiment,0.216170201,"32 weeks, real data"
GV3101_OD_experiment,0.23405028,"32 weeks, real data"
GV3101_OD_experiment,0.699597594,"32 weeks, real data"
GV3101_OD_experiment,0.300462642,"32 weeks, real data"
GV3101_OD_experiment,0.644107889,"32 weeks, real data"
